,order_id,order_datetime,customer_id,customer_city,restaurant_id,restaurant_name,cuisine,order_amount,discount_amount,distance_km,prep_time_mins,sugar_fee,delivery_time_mins,delivery_partner,rating,payment_method,delivery_status,customer_age_group,customer_type,customer_segment,customer_membership,restaurant_type,platform_fee,delivery_fee,coupon_code_used,is_first_order,order_date,order_month,order_weekday,order_hour,total_payable,expected_delivery_mins,delayed_mins,is_delayed,delivery_efficiency,order_value_bin,is_repeat_customer,is_first_order_binary
0,ORD00001,2024-07-09 18:10:00,CUST00861,Pune,REST061,Burger Street,Bakery,316,161,1.47,21,22,30,DP030,5,COD,Cancelled,18-25,Returning,Budget,Normal,Dine-in,10,37,FESTIVE30,No,2024-07-09,2024-07,Tuesday,18,224,26.88,3.120000000000001,0,20.41,Mid,1,0
1,ORD00002,2024-09-24 13:47:00,CUST01295,Hyderabad,REST005,Biryani House,Desserts,289,207,5.6,39,20,64,DP047,3,UPI,Cancelled,46-60,Returning,Regular,Normal,Franchise,5,39,FESTIVE30,No,2024-09-24,2024-09,Tuesday,13,146,61.4,2.6000000000000014,0,11.43,Low,1,0
2,ORD00003,2024-06-13 09:54:00,CUST01131,Chennai,REST192,Italiano Kitchen,Desserts,243,43,3.72,13,20,57,DP042,5,COD,Delivered,18-25,Returning,Regular,Normal,Dine-in,5,28,SAVE20,No,2024-06-13,2024-06,Thursday,9,253,27.880000000000003,29.119999999999997,1,15.32,Mid,1,0
3,ORD00004,2024-01-23 05:16:00,CUST01096,Chennai,REST005,Italiano Kitchen,Bakery,1354,287,7.35,30,27,74,DP022,2,Card,Cancelled,26-35,Returning,Regular,Swiggy One,Cloud Kitchen,4,37,TRYNEW,No,2024-01-23,2024-01,Tuesday,5,1135,59.4,14.600000000000001,1,10.07,Very High,1,0
4,ORD00005,2024-11-15 20:52:00,CUST01639,Kolkata,REST127,Spice Hub,North Indian,725,278,9.67,19,28,19,DP031,4,UPI,Delivered,46-60,New,Budget,Normal,Franchise,9,35,SAVE20,Yes,2024-11-15,2024-11,Friday,20,519,57.68,-38.68,0,1.96,High,1,1
5,ORD00006,2024-08-16 13:39:00,CUST02170,Kolkata,REST181,Burger Street,Bakery,1177,274,11.12,35,9,35,DP037,1,COD,Delivered,26-35,Returning,Premium,Normal,Franchise,11,18,FESTIVE30,No,2024-08-16,2024-08,Friday,13,941,79.47999999999999,-44.47999999999999,0,3.15,High,1,0
6,ORD00007,2024-10-25 04:18:00,CUST00467,Hyderabad,REST017,Sweet Treats,North Indian,755,220,11.58,36,8,79,DP024,5,Card,Cancelled,18-25,New,Regular,Normal,Cloud Kitchen,6,34,NONE,Yes,2024-10-25,2024-10,Friday,4,583,82.32,-3.319999999999993,0,6.82,High,0,1
7,ORD00008,2024-02-14 14:59:00,CUST01239,Delhi,REST012,Burger Street,Chinese,1445,284,4.54,13,0,35,DP024,5,Card,Delayed,36-45,New,Regular,Normal,Dine-in,6,14,SAVE20,Yes,2024-02-14,2024-02,Wednesday,14,1181,31.16,3.84,0,7.71,Very High,1,1
8,ORD00009,2024-09-25 20:47:00,CUST00331,Pune,REST191,Sweet Treats,North Indian,1305,145,10.34,32,20,85,DP013,1,COD,Delayed,26-35,Returning,Regular,Normal,Franchise,8,32,TRYNEW,No,2024-09-25,2024-09,Wednesday,20,1220,73.36,11.64,1,8.22,Very High,1,0
9,ORD00010,2024-07-05 03:20:00,CUST01483,Ahmedabad,REST181,Sweet Treats,North Indian,733,68,7.31,20,22,79,DP025,4,COD,Cancelled,36-45,Returning,Premium,Normal,Dine-in,6,37,NEW50,No,2024-07-05,2024-07,Friday,3,730,49.239999999999995,29.760000000000005,1,10.81,High,1,0
10,ORD00011,2024-06-13 20:27:00,CUST02136,Pune,REST058,Burger Street,South Indian,965,139,8.46,13,4,37,DP031,5,Card,Cancelled,36-45,Returning,Regular,Swiggy One,Franchise,9,37,NEW50,No,2024-06-13,2024-06,Thursday,20,876,46.84,-9.840000000000003,0,4.37,High,1,0
11,ORD00012,2024-07-27 14:41:00,CUST02920,Mumbai,REST133,Sweet Treats,Desserts,742,9,10.29,20,14,74,DP036,3,Card,Delivered,36-45,Returning,Budget,Normal,Cloud Kitchen,8,33,NEW50,No,2024-07-27,2024-07,Saturday,14,788,61.16,12.840000000000003,1,7.19,High,1,0
12,ORD00013,2024-01-26 07:29:00,CUST00131,Bangalore,REST168,Dragon Bowl,Desserts,835,110,2.0,26,13,16,DP014,1,COD,Delayed,26-35,Returning,Budget,Normal,Franchise,11,35,SAVE20,No,2024-01-26,2024-01,Friday,7,784,34.0,-18.0,0,8.0,High,1,0
13,ORD00014,2024-09-30 07:59:00,CUST01686,Chennai,REST037,Foodie's Corner,North Indian,1112,36,11.4,30,25,48,DP020,4,Card,Delayed,26-35,New,Premium,Normal,Cloud Kitchen,7,17,NEW50,Yes,2024-09-30,2024-09,Monday,7,1125,75.6,-27.599999999999994,0,4.21,Very High,1,1
14,ORD00015,2024-06-30 19:59:00,CUST00770,Bangalore,REST040,Taste of India,North Indian,1136,80,6.8,37,10,71,DP039,2,COD,Delivered,18-25,Returning,Premium,Normal,Dine-in,6,15,SAVE20,No,2024-06-30,2024-06,Sunday,19,1087,64.2,6.799999999999997,1,10.44,Very High,1,0
15,ORD00016,2024-09-06 03:17:00,CUST02392,Mumbai,REST145,Burger Street,South Indian,1225,95,4.36,33,22,30,DP028,1,UPI,Delivered,26-35,Returning,Regular,Normal,Franchise,5,12,SAVE20,No,2024-09-06,2024-09,Friday,3,1169,50.44,-20.439999999999998,0,6.88,Very High,1,0
16,ORD00017,2024-08-26 21:57:00,CUST01516,Kolkata,REST164,Foodie's Corner,North Indian,1463,54,4.4,31,16,88,DP025,2,UPI,Delayed,46-60,Returning,Regular,Normal,Franchise,12,26,NEW50,No,2024-08-26,2024-08,Monday,21,1463,48.6,39.4,1,20.0,Very High,1,0
17,ORD00018,2024-06-25 18:28:00,CUST02854,Pune,REST100,Dragon Bowl,Bakery,595,131,9.14,29,20,62,DP038,1,COD,Delivered,46-60,Returning,Regular,Swiggy One,Cloud Kitchen,10,25,NONE,No,2024-06-25,2024-06,Tuesday,18,519,65.56,-3.5600000000000023,0,6.78,High,1,0
18,ORD00019,2024-01-01 13:28:00,CUST02434,Chennai,REST067,Sweet Treats,Biryani,386,222,8.3,29,13,39,DP043,5,COD,Delayed,26-35,Returning,Budget,Normal,Dine-in,15,26,SAVE20,No,2024-01-01,2024-01,Monday,13,218,62.2,-23.200000000000003,0,4.7,Mid,1,0
19,ORD00020,2024-02-14 19:21:00,CUST01216,Bangalore,REST156,Sweet Treats,North Indian,1453,62,8.89,22,29,82,DP011,4,COD,Cancelled,26-35,Returning,Budget,Swiggy One,Franchise,10,39,FESTIVE30,No,2024-02-14,2024-02,Wednesday,19,1469,57.56,24.439999999999998,1,9.22,Very High,1,0
20,ORD00021,2024-09-21 02:09:00,CUST00956,Ahmedabad,REST194,Italiano Kitchen,Chinese,1217,11,3.41,26,5,46,DP018,3,Card,Cancelled,46-60,Returning,Premium,Swiggy One,Franchise,12,20,FESTIVE30,No,2024-09-21,2024-09,Saturday,2,1243,39.64,6.359999999999999,1,13.49,Very High,1,0
21,ORD00022,2024-09-23 07:28:00,CUST02325,Kolkata,REST197,Taste of India,North Indian,1031,145,2.46,35,21,59,DP039,2,Card,Delayed,18-25,New,Budget,Normal,Cloud Kitchen,5,28,TRYNEW,Yes,2024-09-23,2024-09,Monday,7,940,44.84,14.159999999999997,1,23.98,High,1,1
22,ORD00023,2024-03-12 03:35:00,CUST01185,Mumbai,REST144,Biryani House,North Indian,915,263,8.8,22,3,54,DP019,2,UPI,Delayed,36-45,Returning,Regular,Normal,Franchise,12,11,SAVE20,No,2024-03-12,2024-03,Tuesday,3,678,57.2,-3.200000000000003,0,6.14,High,1,0
23,ORD00024,2024-04-26 01:47:00,CUST00460,Ahmedabad,REST130,Italiano Kitchen,Chinese,1086,31,3.93,26,12,27,DP003,1,COD,Delivered,26-35,Returning,Premium,Normal,Dine-in,8,38,NEW50,No,2024-04-26,2024-04,Friday,1,1113,41.72,-14.719999999999999,0,6.87,Very High,1,0
24,ORD00025,2024-01-27 05:31:00,CUST00022,Bangalore,REST032,Italiano Kitchen,Biryani,508,48,3.06,28,20,19,DP041,2,COD,Cancelled,36-45,New,Premium,Swiggy One,Franchise,3,24,TRYNEW,Yes,2024-01-27,2024-01,Saturday,5,507,40.24,-21.240000000000002,0,6.21,High,1,1
25,ORD00026,2024-07-31 08:35:00,CUST02301,Ahmedabad,REST005,Sweet Treats,South Indian,795,186,2.97,29,23,31,DP046,1,COD,Delayed,26-35,Returning,Regular,Swiggy One,Cloud Kitchen,11,27,TRYNEW,No,2024-07-31,2024-07,Wednesday,8,670,40.88,-9.880000000000003,0,10.44,High,1,0
26,ORD00027,2024-12-26 00:25:00,CUST00748,Pune,REST121,Spice Hub,Bakery,839,98,2.21,24,21,85,DP049,1,Card,Delivered,26-35,New,Regular,Normal,Dine-in,13,28,NONE,Yes,2024-12-26,2024-12,Thursday,0,803,32.84,52.16,1,38.46,High,1,1
27,ORD00028,2024-10-05 11:05:00,CUST02905,Delhi,REST057,Dragon Bowl,Biryani,611,166,5.41,13,16,24,DP027,2,COD,Delayed,26-35,New,Regular,Swiggy One,Cloud Kitchen,14,16,NONE,Yes,2024-10-05,2024-10,Saturday,11,491,34.64,-10.64,0,4.44,Mid,1,1
28,ORD00029,2024-02-13 17:46:00,CUST00475,Ahmedabad,REST083,Spice Hub,North Indian,250,212,3.5,27,20,73,DP023,2,Card,Cancelled,26-35,Returning,Regular,Normal,Franchise,9,35,NONE,No,2024-02-13,2024-02,Tuesday,17,102,41.0,32.0,1,20.86,Low,1,0
29,ORD00030,2024-07-23 07:39:00,CUST01083,Kolkata,REST191,Spice Hub,Bakery,841,198,10.78,20,11,49,DP035,5,UPI,Delayed,18-25,Returning,Budget,Normal,Dine-in,6,32,SAVE20,No,2024-07-23,2024-07,Tuesday,7,692,63.12,-14.119999999999997,0,4.55,High,1,0
30,ORD00031,2024-07-27 00:46:00,CUST02559,Mumbai,REST047,Foodie's Corner,Italian,1133,245,8.43,18,22,37,DP038,5,COD,Delayed,18-25,New,Budget,Swiggy One,Franchise,4,12,TRYNEW,Yes,2024-07-27,2024-07,Saturday,0,926,51.72,-14.719999999999999,0,4.39,High,1,1
31,ORD00032,2024-01-10 23:59:00,CUST02048,Bangalore,REST056,Italiano Kitchen,Desserts,918,153,9.05,25,11,70,DP043,5,COD,Delayed,36-45,Returning,Budget,Normal,Franchise,13,12,SAVE20,No,2024-01-10,2024-01,Wednesday,23,801,61.2,8.799999999999997,1,7.73,High,1,0
